Time;Object Name;Status;Value;;;;;Object Name;Value;
9:13:36;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:10;;;TIC Gauge 3;9,90E+09;70
9:13:36;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:10;;;TIC Gauge 1;1,00E+05;70
9:13:38;;;1,6;9:12:26;0:01:12;;;;1,6;72
9:13:38;;;6,1;9:12:26;0:01:12;;;;6,1;72
9:13:38;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:12;;;TIC Gauge 1;1,00E+05;72
9:13:38;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:12;;;TIC Gauge 2;9,90E+09;72
9:13:38;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:12;;;TIC Gauge 3;9,90E+09;72
9:13:40;;;1,6;9:12:26;0:01:14;;;;1,6;74
9:13:40;;;8,2;9:12:26;0:01:14;;;;8,2;74
9:13:40;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:14;;;TIC Gauge 1;1,00E+05;74
9:13:40;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:14;;;TIC Gauge 2;9,90E+09;74
9:13:41;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:15;;;TIC Gauge 3;9,90E+09;75
9:13:42;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:16;;;TIC Gauge 3;9,90E+09;76
9:13:42;;;1,6;9:12:26;0:01:16;;;;1,6;76
9:13:42;;;8;9:12:26;0:01:16;;;;8;76
9:13:42;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:16;;;TIC Gauge 1;1,00E+05;76
9:13:42;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:16;;;TIC Gauge 2;9,90E+09;76
9:13:44;;;1,6;9:12:26;0:01:18;;;;1,6;78
9:13:44;;;6,5;9:12:26;0:01:18;;;;6,5;78
9:13:44;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:18;;;TIC Gauge 1;1,00E+05;78
9:13:45;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:19;;;TIC Gauge 2;9,90E+09;79
9:13:45;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:19;;;TIC Gauge 3;9,90E+09;79
9:13:46;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:20;;;TIC Gauge 1;1,00E+05;80
9:13:46;;;1,6;9:12:26;0:01:20;;;;1,6;80
9:13:46;;;8,7;9:12:26;0:01:20;;;;8,7;80
9:13:47;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:21;;;TIC Gauge 2;9,90E+09;81
9:13:47;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:21;;;TIC Gauge 3;9,90E+09;81
9:13:48;;;1,6;9:12:26;0:01:22;;;;1,6;82
9:13:48;;;5,4;9:12:26;0:01:22;;;;5,4;82
9:13:49;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:23;;;TIC Gauge 1;1,00E+05;83
9:13:49;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:23;;;TIC Gauge 2;9,90E+09;83
9:13:49;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:23;;;TIC Gauge 3;9,90E+09;83
9:13:51;;;1,6;9:12:26;0:01:25;;;;1,6;85
9:13:51;;;7,3;9:12:26;0:01:25;;;;7,3;85
9:13:51;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:25;;;TIC Gauge 1;1,00E+05;85
9:13:51;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:25;;;TIC Gauge 2;9,90E+09;85
9:13:51;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:25;;;TIC Gauge 3;9,90E+09;85
9:13:53;;;1,6;9:12:26;0:01:27;;;;1,6;87
9:13:53;;;6,1;9:12:26;0:01:27;;;;6,1;87
9:13:53;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:27;;;TIC Gauge 1;1,00E+05;87
9:13:53;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:27;;;TIC Gauge 2;9,90E+09;87
9:13:53;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:27;;;TIC Gauge 3;9,90E+09;87
9:13:55;;;1,6;9:12:26;0:01:29;;;;1,6;89
9:13:55;;;8,4;9:12:26;0:01:29;;;;8,4;89
9:13:55;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:29;;;TIC Gauge 1;1,00E+05;89
9:13:55;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:29;;;TIC Gauge 2;9,90E+09;89
9:13:55;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:29;;;TIC Gauge 3;9,90E+09;89
9:13:57;;;1,6;9:12:26;0:01:31;;;;1,6;91
9:13:57;;;8;9:12:26;0:01:31;;;;8;91
9:13:57;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:31;;;TIC Gauge 1;1,00E+05;91
9:13:57;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:31;;;TIC Gauge 2;9,90E+09;91
9:13:57;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:31;;;TIC Gauge 3;9,90E+09;91
9:13:59;;;1,6;9:12:26;0:01:33;;;;1,6;93
9:13:59;;;6,8;9:12:26;0:01:33;;;;6,8;93
9:13:59;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:33;;;TIC Gauge 1;1,00E+05;93
9:13:59;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:33;;;TIC Gauge 2;9,90E+09;93
9:13:59;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:33;;;TIC Gauge 3;9,90E+09;93
9:14:01;;;1,6;9:12:26;0:01:35;;;;1,6;95
9:14:01;;;8,4;9:12:26;0:01:35;;;;8,4;95
9:14:01;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:35;;;TIC Gauge 1;1,00E+05;95
9:14:01;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:35;;;TIC Gauge 2;9,90E+09;95
9:14:01;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:35;;;TIC Gauge 3;9,90E+09;95
9:14:03;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:37;;;TIC Gauge 2;9,90E+09;97
9:14:03;;;1,6;9:12:26;0:01:37;;;;1,6;97
9:14:03;;;6,1;9:12:26;0:01:37;;;;6,1;97
9:14:03;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:37;;;TIC Gauge 3;9,90E+09;97
9:14:03;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:37;;;TIC Gauge 1;1,00E+05;97
9:14:05;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:39;;;TIC Gauge 2;9,90E+09;99
9:14:05;;;1,6;9:12:26;0:01:39;;;;1,6;99
9:14:05;;;8;9:12:26;0:01:39;;;;8;99
9:14:05;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:39;;;TIC Gauge 3;9,90E+09;99
9:14:05;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:39;;;TIC Gauge 1;1,00E+05;99
9:14:07;;;1,6;9:12:26;0:01:41;;;;1,6;101
9:14:07;;;8,2;9:12:26;0:01:41;;;;8,2;101
9:14:07;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:41;;;TIC Gauge 1;1,00E+05;101
9:14:07;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:41;;;TIC Gauge 2;9,90E+09;101
9:14:07;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:41;;;TIC Gauge 3;9,90E+09;101
9:14:09;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:43;;;TIC Gauge 3;9,90E+09;103
9:14:09;;;1,6;9:12:26;0:01:43;;;;1,6;103
9:14:09;;;6,5;9:12:26;0:01:43;;;;6,5;103
9:14:09;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:43;;;TIC Gauge 1;1,00E+05;103
9:14:09;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:43;;;TIC Gauge 2;9,90E+09;103
9:14:11;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:45;;;TIC Gauge 2;9,90E+09;105
9:14:11;;;1,6;9:12:26;0:01:45;;;;1,6;105
9:14:11;;;6,1;9:12:26;0:01:45;;;;6,1;105
9:14:11;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:45;;;TIC Gauge 3;9,90E+09;105
9:14:11;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:45;;;TIC Gauge 1;1,00E+05;105
9:14:13;;;1,6;9:12:26;0:01:47;;;;1,6;107
9:14:13;;;5,8;9:12:26;0:01:47;;;;5,8;107
9:14:13;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:47;;;TIC Gauge 1;1,00E+05;107
9:14:13;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:47;;;TIC Gauge 2;9,90E+09;107
9:14:13;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:47;;;TIC Gauge 3;9,90E+09;107
9:14:15;;;1,6;9:12:26;0:01:49;;;;1,6;109
9:14:15;;;6,1;9:12:26;0:01:49;;;;6,1;109
9:14:15;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:49;;;TIC Gauge 1;1,00E+05;109
9:14:15;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:49;;;TIC Gauge 2;9,90E+09;109
9:14:16;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:50;;;TIC Gauge 3;9,90E+09;110
9:14:17;;;1,6;9:12:26;0:01:51;;;;1,6;111
9:14:17;;;8;9:12:26;0:01:51;;;;8;111
9:14:17;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:51;;;TIC Gauge 1;1,00E+05;111
9:14:17;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:51;;;TIC Gauge 2;9,90E+09;111
9:14:18;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:52;;;TIC Gauge 3;9,90E+09;112
9:14:19;;;1,6;9:12:26;0:01:53;;;;1,6;113
9:14:19;;;6,8;9:12:26;0:01:53;;;;6,8;113
9:14:19;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:53;;;TIC Gauge 1;1,00E+05;113
9:14:20;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:54;;;TIC Gauge 2;9,90E+09;114
9:14:20;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:54;;;TIC Gauge 3;9,90E+09;114
9:14:21;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:55;;;TIC Gauge 1;1,00E+05;115
9:14:21;;;1,6;9:12:26;0:01:55;;;;1,6;115
9:14:21;;;6,1;9:12:26;0:01:55;;;;6,1;115
9:14:22;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:56;;;TIC Gauge 2;9,90E+09;116
9:14:22;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:56;;;TIC Gauge 3;9,90E+09;116
9:14:23;;;1,6;9:12:26;0:01:57;;;;1,6;117
9:14:24;;;7,5;9:12:26;0:01:58;;;;7,5;118
9:14:24;TIC Gauge 1;11;1,00E+05;9:12:26;0:01:58;;;TIC Gauge 1;1,00E+05;118
9:14:24;TIC Gauge 2;5;9,90E+09;9:12:26;0:01:58;;;TIC Gauge 2;9,90E+09;118
9:14:24;TIC Gauge 3;5;9,90E+09;9:12:26;0:01:58;;;TIC Gauge 3;9,90E+09;118
